baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DGC
0.3270032230548955	-1.7300799098484652	2.425148858670087	-0.7133912228370234	0.47560370286383513	NA	(AGly)Aac
0.09059671538327513	0.3157589513115323	2.431436037466055	0.12986520987844025	0.8966730696388131	NA	(AGly)Aac)-IVa
0.18499501645634064	-0.7764465439506352	2.4279385278949217	-0.3197966237735978	0.7491225071653803	NA	(AGly)Aac3
57.159722431589465	-7.788541733367343	1.5834542568697079	-4.918703334546791	8.711938863442894e-7	4.641360532420438e-6	(AGly)Aac6-Aph2
3.773721738494045	-4.664676056417596	1.7991849739117063	-2.592660634707208	0.009523669462386293	0.027762394942239286	(AGly)Aac6-Ii
0.40915273102317234	1.2620376218874474	1.2182528059078437	1.0359406649976688	0.30022982474881854	NA	(AGly)Aac6-Im
7.44706411476562	3.838237813209524	0.5687382146709947	6.748689843937916	1.4918610860358346e-11	1.8439403023402915e-10	(AGly)AadA
0.4211796903939375	-1.7457030229121195	2.423047813992968	-0.7204575216513601	0.47124334472683643	NA	(AGly)AadA4
0.4211796903939375	-1.7457030229121195	2.423047813992968	-0.7204575216513601	0.47124334472683643	NA	(AGly)AadA5
0.230384573017195	1.1452528911255044	1.624986338620675	0.7047769349849555	0.48094906448103575	NA	(AGly)AadA9
0.0544235441785701	-0.7713064890725283	2.4316762252907695	-0.3171912777904051	0.7510984677978887	NA	(AGly)AadD
95.050161340945	1.069719319992385	0.7848314752939223	1.3629923794681795	0.17288491230869554	0.3198888497208798	(AGly)Ant6-Ia
63.42788001516428	8.86175145060313	0.7549606169217365	11.73803143101144	8.135814814077466e-32	8.37988925849979e-30	(AGly)Ant6-Ib
1.726437143603432	3.2173032458663857	0.8601137734127309	3.740555430359959	1.8361404561060616e-4	7.092092511709662e-4	(AGly)Aph2-Ib
0.4657257973192579	1.660214113392237	2.4168634621830947	0.6869292119185771	0.4921273375801178	NA	(AGly)Aph2''Ic
0.36939177317332633	1.6739628573118976	1.8707487378653525	0.8948090266905643	0.37088918415372485	NA	(AGly)Aph3-Ia
0.01624880030155393	-0.4723218325952465	2.433829327123855	-0.19406530578436512	0.8461247471214334	NA	(AGly)Aph3-IIb
111.55960436512507	-0.8448677960190007	0.8975847591315642	-0.9412679832447596	0.34656754569805537	0.4838332509415894	(AGly)Aph3-III
0.36939177317332633	1.6739628573118976	1.8707487378653525	0.8948090266905643	0.37088918415372485	NA	(AGly)Aph3''Ia
0.046344728079529045	0.2161360576125893	2.431964515180407	0.08887303094410322	0.9291828169088749	NA	(AGly)Aph4-Ia
8.226769032405784	6.096799180110668	0.967510238906977	6.301534531560503	2.947131030824992e-10	2.7595863288634017e-9	(AGly)ApmA
0.10882444099221628	0.31575895330478865	2.4314360374803377	0.129865210697463	0.8966730689908148	NA	(AGly)NpmA
2.1965546547920254	3.547323278507995	1.4130703609364605	2.510365638238379	0.012060620965342508	0.033879380711734866	(AGly)RmtF
0.7996188068281324	2.3018027044106626	1.5457225578797946	1.489143502937521	0.13644958431593152	0.2658799507709057	(AGly)Sat-2A
19.550418540449186	1.615935416285673	0.7291386125144165	2.216225267117811	0.026676078248238616	0.07167746242352811	(AGly)Sat4A
0.4854760007762766	1.172410401572148	2.2643467343250694	0.5177698202310022	0.6046188773708883	NA	(AGly)Spc
49.76405709407129	-4.591023362298105	0.9938276414217078	-4.619536799892659	3.845976659724247e-6	1.8283181351612192e-5	(AGly)StrA
51.87513077999428	-3.893815760922469	1.0483498003448948	-3.7142333213984964	2.0382067866833226e-4	7.680559720550569e-4	(AGly)StrB
2.1359146493009873	-3.7402216072902417	2.0945434461080508	-1.7856977921561317	0.07414820305329879	0.16971699809977278	(Bla)-ACT/MIR
4.446442326239301	-4.612869010555741	2.103932608836927	-2.1924984627267965	0.028343533974567944	0.07422162710289402	(Bla)-CEPA
1873.788647460099	-5.127500170835918	0.9798574710626564	-5.2329040929546	1.668673312630045e-7	9.915770261590074e-7	(Bla)-cfxA
1.5011997897787563	-3.3618833758265354	1.753800837977612	-1.9169128575073993	0.05524900334914592	0.13164425755162942	(Bla)-CMY
0.21605570094698456	-1.0254339266599108	2.4296290594900687	-0.42205369690265776	0.6729858239598578	NA	(Bla)-CTX-M
1.3581695644374232	-3.0090647845724594	2.3403568321437005	-1.2857290577421228	0.198537636434452	0.35667517243166086	(Bla)-DHA/MOR
0.1544534564332141	0.5209593995200155	2.430444734950299	0.21434735463370608	0.8302761924032995	NA	(Bla)-OXAc
0.7930708910419734	-2.5706150354807042	2.2845882142779743	-1.125198414057794	0.2605049650472285	0.4259049428549926	(Bla)-OXAd
0.20867521084144983	-1.4786101647802448	2.426736578551295	-0.6092998217643139	0.5423257252135135	NA	(Bla)-OXY/CTX-M
8.344338383946738	1.0899688357228698	0.9102180613035524	1.1974810015985518	0.23111912823646794	0.39239456387400323	(Bla)-TEM
5.177770902521726	-5.04903350954232	1.8481356752013798	-2.7319604168087706	0.006295870452611013	0.01888761135783304	(Bla)ACC-3
23.338206827208534	5.1015258240936765	0.9258692138964846	5.509985371069963	3.5886352218728075e-8	2.333656891547306e-7	(Bla)ACI-1
23.338206827208534	5.1015258240936765	0.9258692138964846	5.509985371069963	3.5886352218728075e-8	2.333656891547306e-7	(Bla)ACI1
0.17975041182900167	-1.1522623422747835	2.428729916444312	-0.4744300033005352	0.6351933018211702	NA	(Bla)AmpC
6.355507797494147	1.2257075973969827	0.7227632493028052	1.6958632008189813	0.08991179010610695	0.19987584994810825	(Bla)AmpC1_Ecoli
